cycle,status,solve_time_s,position_error_m,attitude_error_rad,joint_error_rad,cost,max_abs_command,max_abs_command_rate,T_cmd,p_cmd,q_cmd,r_cmd,cmd_00,cmd_01,cmd_02,cmd_03,cmd_04,cmd_05,cmd_06,cmd_07,cmd_rate_00,cmd_rate_01,cmd_rate_02,cmd_rate_03,cmd_rate_04,cmd_rate_05,cmd_rate_06,cmd_rate_07
29,0,0.0026615909991960507,0.13560381369994506,0.021998458816750194,0.054626459843191214,13.000121228659497,16.855847820280694,0.6459629680451608,16.855847820280694,-0.17287431649295715,0.0010970691604139642,2.1955476322211494e-05,16.855847820280694,-0.17287431649295715,0.0010970691604139642,2.1955476322211494e-05,-0.03241788835612456,-0.03241788835612456,-0.03241788835612456,-0.032417888357391775,0.13054065655902872,0.6459629680451608,0.019972705966442572,8.49805152501933e-05,0.07457025573972687,0.07457025573972687,0.07457025573972687,0.07457025574276031
30,0,0.0026384960001450963,0.1410789757582846,0.026811893843767448,0.05275389422320765,12.976570537539349,16.858360639067126,0.65698399912434,16.858360639067126,-0.15973463651047035,0.0014823560066183393,2.3957758959617827e-05,16.858360639067126,-0.15973463651047035,0.0014823560066183393,2.3957758959617827e-05,-0.031020890448888498,-0.031020890448888498,-0.031020890448888498,-0.03102089045009687,0.12564093932143058,0.65698399912434,0.019264342310218757,0.00010011413187031658,0.06984989536180329,0.06984989536180329,0.06984989536180329,0.06984989536474548
31,0,0.0026790880001499318,0.14648541496969272,0.03144428758592655,0.05093868347890561,12.952209621066455,16.860757421466776,0.6658891517802956,16.860757421466776,-0.14641685347486447,0.0018527785658856931,2.6267169430419565e-05,16.860757421466776,-0.14641685347486447,0.0018527785658856931,2.6267169430419565e-05,-0.029711894604387775,-0.029711894604387775,-0.029711894604387775,-0.029711894605549027,0.11983911998268304,0.6658891517802956,0.018521127963367703,0.00011547052354008672,0.06544979222503655,0.06544979222503655,0.06544979222503655,0.06544979222739183
32,0,0.0024896229988371488,0.15180241378600765,0.03588165605489865,0.049181083313497374,12.927788723763786,16.863022374167002,0.6727165346022626,16.863022374167002,-0.13296252278281923,0.0022077063988735993,2.8884065621858533e-05,16.863022374167002,-0.13296252278281923,0.0022077063988735993,2.8884065621858533e-05,-0.02848447497362706,-0.02848447497362706,-0.02848447497362706,-0.02848447497473986,0.11324763501147077,0.6727165346022626,0.017746391649395312,0.00013084480957194835,0.06137098153803581,0.06137098153803581,0.06137098153803581,0.06137098154045839
33,0,0.002512219998607179,0.15701017074502668,0.04011219279131641,0.047480901431138096,12.90387552598986,16.865142009027473,0.6774977277179292,16.865142009027473,-0.11941256822846064,0.0025465677235634635,3.180464155310186e-05,16.865142009027473,-0.11941256822846064,0.0025465677235634635,3.180464155310186e-05,-0.0273323300363422,-0.0273323300363422,-0.0273323300363422,-0.027332330037406222,0.10598174302347073,0.6774977277179292,0.01694306623449321,0.0001460287965621663,0.05760724686424258,0.05760724686424258,0.05760724686424258,0.05760724686668169
34,0,0.002777767997031333,0.16208982935366967,0.04412571551596569,0.04583757578190906,12.880856198865503,16.867105170074673,0.6802613139502359,16.867105170074673,-0.10580734194945592,0.002868844175241193,3.502093619116613e-05,16.867105170074673,-0.10580734194945592,0.002868844175241193,3.502093619116613e-05,-0.026249389856825733,-0.026249389856825733,-0.026249389856825733,-0.026249389857841397,0.09815805235971989,0.6802613139502359,0.01611382258388645,0.0001608147319032136,0.054147008975823537,0.054147008975823537,0.054147008975823537,0.05414700897824137
35,0,0.002644692998728715,0.1670235032762208,0.04791340358297839,0.044250244204932565,12.858938554705906,16.868903032588683,0.6810355861934414,16.868903032588683,-0.0921866302255871,0.003174067578995191,3.852091674666094e-05,16.868903032588683,-0.0921866302255871,0.003174067578995191,3.852091674666094e-05,-0.02522989206403358,-0.02522989206403358,-0.02522989206403358,-0.025229892065001924,0.08989312570065915,0.6810355861934414,0.015261170187699864,0.00017499902777474104,0.050974889639607474,0.050974889639607474,0.050974889639607474,0.05097488964197371
36,0,0.0026819880004040897,0.17179429825737372,0.0514676498568287,0.04271780578079075,12.838157252282851,16.870529075964356,0.679850566531406,16.870529075964356,-0.07858961889495897,0.00346181819112591,4.228863341464494e-05,16.870529075964356,-0.07858961889495897,0.00346181819112591,4.228863341464494e-05,-0.02426843225638606,-0.02426843225638606,-0.02426843225638606,-0.024268432257308528,0.08130216878339253,0.679850566531406,0.014387530606536006,0.0001883858333991992,0.04807299038237626,0.04807299038237626,0.04807299038237626,0.048072990384669397
37,0,0.0024880240016500466,0.17638633104853602,0.05478196520781037,0.04123897433774434,12.81838099228095,16.871979032152943,0.6767394575475807,16.871979032152943,-0.06505482974400736,0.003731723971121009,4.630444054474389e-05,16.871979032152943,-0.06505482974400736,0.003731723971121009,4.630444054474389e-05,-0.023359993783203505,-0.023359993783203505,-0.023359993783203505,-0.023359993784081892,0.07249780942939589,0.6767394575475807,0.013495288999754943,0.00020079035650494772,0.04542192365912757,0.04542192365912757,0.04542192365912757,0.04542192366133174
38,0,0.0026638899980753195,0.18078474549817755,0.05785091048533314,0.03981232464586186,12.799321610799552,16.873250811599753,0.6717396314209076,16.873250811599753,-0.051620037115589185,0.0039834605362180165,5.054527770380057e-05,16.873250811599753,-0.051620037115589185,0.0039834605362180165,5.054527770380057e-05,-0.022499961164638357,-0.022499961164638357,-0.022499961164638357,-0.02249996116547464,0.06358897234047488,0.6717396314209076,0.01258682825485039,0.00021204185795283443,0.04300163092825745,0.04300163092825745,0.04300163092825745,0.04300163093036266
39,0,0.002795264997985214,0.1849757258969608,0.06067004435380924,0.03843633188749247,12.780544950194159,16.874344408688152,0.6648932481956012,16.874344408688152,-0.03832217215167718,0.00421675152717236,5.4985003007322963e-05,16.874344408688152,-0.03832217215167718,0.00421675152717236,5.4985003007322963e-05,-0.021684120783341237,-0.021684120783341237,-0.021684120783341237,-0.02168412078413752,0.0546798544200482,0.6648932481956012,0.011664549547717187,0.000221986265176119,0.04079201906485595,0.04079201906485595,0.04079201906485595,0.040792019066855825
