sim_time_s,wall_time_s,state,active_position_reference_kind,active_joint_reference_kind,px,py,pz,ref_px,ref_py,ref_pz,hold_ref_px,hold_ref_py,hold_ref_pz,position_error_m,position_error_to_active_reference_m,position_error_to_final_hold_m,position_error_to_initial_m,vx,vy,vz,speed_mps,roll_rad,pitch_rad,yaw_rad,wx,wy,wz,yaw_error_rad,max_joint_error_rad,max_joint_error_to_active_reference_deg,max_joint_error_to_neutral_deg,offboard,armed,mavros_state_age_sim_s,mavros_state_age_wall_s,mavros_state_receive_count,q_shoulder_pan_joint,qd_shoulder_pan_joint,qref_shoulder_pan_joint,qcmd_shoulder_pan_joint,effort_shoulder_pan_joint,q_shoulder_lift_joint,qd_shoulder_lift_joint,qref_shoulder_lift_joint,qcmd_shoulder_lift_joint,effort_shoulder_lift_joint,q_elbow_joint,qd_elbow_joint,qref_elbow_joint,qcmd_elbow_joint,effort_elbow_joint,q_wrist_1_joint,qd_wrist_1_joint,qref_wrist_1_joint,qcmd_wrist_1_joint,effort_wrist_1_joint,q_wrist_roll_joint,qd_wrist_roll_joint,qref_wrist_roll_joint,qcmd_wrist_roll_joint,effort_wrist_roll_joint,q_left_knuckle_joint,qd_left_knuckle_joint,qref_left_knuckle_joint,qcmd_left_knuckle_joint,effort_left_knuckle_joint
2.842,4.06470490799984,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0003007437044288963,-0.0006253907340578735,0.009018258191645145,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.00904343850331759,0.00904343850331759,0.9909819847796764,0.00904343850331759,0.005810996051877737,-0.0030026102904230356,0.06381381303071976,0.06414815723924383,-0.0189742680542408,0.023733769477985892,-0.04283341868416203,0.0007994055631570518,0.004533614497631788,-0.000405208877054975,-0.04283341868416203,0.0,0.0,5.597559071769598,False,False,0.3240000000000003,1.1248884209999233,1,-0.09769583587725705,-0.04535135269469143,-0.09769583587725705,-0.09769583587725705,nan,0.01820935459479145,-0.00680397980047829,0.01820935459479145,0.01820935459479145,nan,0.04183472693481427,0.003437992593517432,0.04183472693481427,0.04183472693481427,nan,0.019136354000050204,-0.003591779112479138,0.019136354000050204,0.019136354000050204,nan,0.026437661248175814,0.14170762472462198,0.026437661248175814,0.026437661248175814,nan,0.001819727535361082,0.11072115871107663,0.001819727535361082,0.001819727535361082,nan
2.865,4.138215620001574,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.00039545531035400927,-0.0006711108144372702,0.010147735476493835,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.010176081306023125,0.010176081306023125,0.9898525710210289,0.010176081306023125,0.005677427165210247,-0.0033307529520243406,0.06625661253929138,0.06658277404573551,-0.018987513385030366,0.023798202135080482,-0.04282940094245023,-0.0007144847768358886,0.002580387517809868,0.0014968387549743054,-0.04282940094245023,0.0,0.0,5.7152641616639315,False,False,0.3470000000000004,1.1992490429984173,1,-0.09975017724226909,-0.046548589499819104,-0.09975017724226909,-0.09975017724226909,nan,0.018072270168772775,0.005705683837599956,0.018072270168772775,0.018072270168772775,nan,0.042093761296740695,0.01565311249850214,0.042093761296740695,0.042093761296740695,nan,0.019123540696249997,0.009187796428830584,0.019123540696249997,0.019123540696249997,nan,0.02551250871088051,-1.0129356289506934,0.02551250871088051,0.02551250871088051,nan,0.0017377012353945176,0.11353545525129469,0.0017377012353945176,0.0017377012353945176,nan
2.894,4.214854890000424,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0006600545020774007,-0.0008053192868828773,0.01420965138822794,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.014246207059976656,0.014246207059976656,0.985790898531336,0.014246207059976656,0.007030969485640526,-0.00359886116348207,0.07391155511140823,0.07433239073626492,-0.019098057024095245,0.02413139842898193,-0.04269377658282919,-0.0015992156695574522,0.0046852887608110905,0.003462162567302584,-0.04269377658282919,0.0,0.0,5.7724903147990085,False,False,0.37600000000000033,1.2755004359987652,1,-0.10074896203272665,-0.04377746737819487,-0.10074896203272665,-0.10074896203272665,nan,0.01801011597178892,-0.005772673194966775,0.01801011597178892,0.01801011597178892,nan,0.042230383744280786,0.003895357484851451,0.042230383744280786,0.042230383744280786,nan,0.019118984273201356,-0.004176706534032449,0.019118984273201356,0.019118984273201356,nan,0.025470282791754784,0.1757911023903683,0.025470282791754784,0.025470282791754784,nan,0.0011247567595988883,0.1085027801539003,0.0011247567595988883,0.0011247567595988883,nan
2.894,4.288216578001084,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0006600545020774007,-0.0008053192868828773,0.01420965138822794,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.014246207059976656,0.014246207059976656,0.985790898531336,0.014246207059976656,0.007030969485640526,-0.00359886116348207,0.07391155511140823,0.07433239073626492,-0.019098057024095245,0.02413139842898193,-0.04269377658282919,-0.0015992156695574522,0.0046852887608110905,0.003462162567302584,-0.04269377658282919,0.0,0.0,5.7724903147990085,False,False,0.37600000000000033,1.3490758419993654,1,-0.10074896203272665,-0.04377746737819487,-0.10074896203272665,-0.10074896203272665,nan,0.01801011597178892,-0.005772673194966775,0.01801011597178892,0.01801011597178892,nan,0.042230383744280786,0.003895357484851451,0.042230383744280786,0.042230383744280786,nan,0.019118984273201356,-0.004176706534032449,0.019118984273201356,0.019118984273201356,nan,0.025470282791754784,0.1757911023903683,0.025470282791754784,0.025470282791754784,nan,0.0011247567595988883,0.1085027801539003,0.0011247567595988883,0.0011247567595988883,nan
2.922,4.3591924120009935,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0008392604649998248,-0.0008881111280061305,0.016481684520840645,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.016525352432036886,0.016525352432036886,0.9835190745392115,0.016525352432036886,0.007458251900970936,-0.0036492885556071997,0.07795442640781403,0.07839537884946864,-0.01906246224103748,0.024278767142719003,-0.04280128399115993,-1.598178641870618e-05,0.007515258155763149,0.0010854895226657382,-0.04280128399115993,0.0,0.0,5.831664891201659,False,False,0.0,0.0,2,-0.10178175322442584,-0.05448521748292874,-0.10178175322442584,-0.10178175322442584,nan,0.017952775977318147,0.006226125670588043,0.017952775977318147,0.017952775977318147,nan,0.042374307943147116,0.01628868762250673,0.042374307943147116,0.042374307943147116,nan,0.019131683406169664,0.010404737539549635,0.019131683406169664,0.019131683406169664,nan,0.024606089857911684,-1.0451999412039554,0.024606089857911684,0.024606089857911684,nan,-0.0011849374789321132,0.09486388037725013,-0.0011849374789321132,-0.0011849374789321132,nan
2.956,4.431509545000154,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0012036414118483663,-0.0009928442304953933,0.01910347305238247,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.019165460302188065,0.019165460302188065,0.9808977678994955,0.019165460302188065,0.010008545592427254,-0.0034309891052544117,0.08491799980401993,0.0855745836205564,-0.01917122713977011,0.024624679639861823,-0.04278469953487525,-0.0012480379082262516,0.006536935921758413,0.0008602101588621728,-0.04278469953487525,0.0,0.0,5.948370173230518,False,False,0.03399999999999981,0.07219905700003437,2,-0.103818644650298,-0.05442550375237715,-0.103818644650298,-0.103818644650298,nan,0.017833171892811528,0.0068699133732311405,0.017833171892811528,0.017833171892811528,nan,0.04265344507341151,0.01627339832302593,0.04265344507341151,0.04265344507341151,nan,0.01913824609769499,0.009531727079415887,0.01913824609769499,0.01913824609769499,nan,0.023678691643453043,-1.0537644357375475,0.023678691643453043,0.023678691643453043,nan,-0.0012080434886625468,0.10491623995403954,-0.0012080434886625468,-0.0012080434886625468,nan
2.99,4.507499848999942,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.001373603125102818,-0.0010326600167900324,0.020052017644047737,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.020123868224908206,0.020123868224908206,0.9799494891553121,0.020123868224908206,0.010731649585068226,-0.004319980274885893,0.08653082698583603,0.08730071334900298,-0.01913845801915554,0.024867259150149573,-0.04278473264918789,0.00041663215961307287,0.007764330133795738,0.0006380089325830331,-0.04278473264918789,0.0,0.0,6.064896504703699,False,False,0.06800000000000006,0.14445890299975872,2,-0.10585241279977531,-0.04561897915522272,-0.10585241279977531,-0.10585241279977531,nan,0.017689365881841113,-0.008654702537172779,0.017689365881841113,0.017689365881841113,nan,0.04291313119493534,0.0035042057674988542,0.04291313119493534,0.04291313119493534,nan,0.019123927580241507,-0.0013198554788922678,0.019123927580241507,0.019123927580241507,nan,0.023505562061171936,0.19018622496995558,0.023505562061171936,0.023505562061171936,nan,0.0018504507849215202,0.11327234277181297,0.0018504507849215202,0.0018504507849215202,nan
3.006,4.58402585100157,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0016491495771333575,-0.0011223636101931334,0.021847913041710854,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.021937107534306045,0.021937107534306045,0.9781541210950643,0.021937107534306045,0.011681747622787952,-0.0053806668147444725,0.09121978282928467,0.09212200379016763,-0.019133951471886887,0.024985366973495314,-0.042812906297949656,-0.0017289476236328483,0.006580186542123556,0.0014605794567614785,-0.042812906297949656,0.0,0.0,6.123895856722435,False,False,0.08399999999999963,0.2221516440004052,2,-0.10688214574904542,-0.05292867658291203,-0.10688214574904542,-0.10688214574904542,nan,0.0176184811532627,-0.006914713468723887,0.0176184811532627,0.0176184811532627,nan,0.04304221889755944,0.0034411348805047197,0.04304221889755944,0.04304221889755944,nan,0.019117415642793567,-0.0031341861281153705,0.019117415642793567,0.019117415642793567,nan,0.023420249815059968,0.17192995524869462,0.023420249815059968,0.023420249815059968,nan,0.001734921520363919,0.11434771525087786,0.001734921520363919,0.001734921520363919,nan
3.012,4.661941923000995,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0016491495771333575,-0.0011223636101931334,0.021847913041710854,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.021937107534306045,0.021937107534306045,0.9781541210950643,0.021937107534306045,0.011681747622787952,-0.0053806668147444725,0.09121978282928467,0.09212200379016763,-0.019133951471886887,0.024985366973495314,-0.042812906297949656,-0.0017289476236328483,0.006580186542123556,0.0014605794567614785,-0.042812906297949656,0.0,0.0,6.123895856722435,False,False,0.08999999999999986,0.2966213820000121,2,-0.10688214574904542,-0.05292867658291203,-0.10688214574904542,-0.10688214574904542,nan,0.0176184811532627,-0.006914713468723887,0.0176184811532627,0.0176184811532627,nan,0.04304221889755944,0.0034411348805047197,0.04304221889755944,0.04304221889755944,nan,0.019117415642793567,-0.0031341861281153705,0.019117415642793567,0.019117415642793567,nan,0.023420249815059968,0.17192995524869462,0.023420249815059968,0.023420249815059968,nan,0.001734921520363919,0.11434771525087786,0.001734921520363919,0.001734921520363919,nan
3.025,4.734786541001085,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0018503123428672552,-0.0011844078544527292,0.023190297186374664,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.023292419240720393,0.023292419240720393,0.9768121733417202,0.023292419240720393,0.0126465680077672,-0.004834702238440514,0.09371799975633621,0.09469093677030604,-0.019247223049008853,0.02510844955842684,-0.042675079241394444,-0.0021331121679395437,0.0064147282391786575,0.001697088358923792,-0.042675079241394444,0.0,0.0,6.18249771057978,False,False,0.10299999999999976,0.3745858269994642,2,-0.10790494104662862,-0.045364371965598255,-0.10790494104662862,-0.10790494104662862,nan,0.017544543447994165,-0.006918670430312268,0.017544543447994165,0.017544543447994165,nan,0.043170757139741056,0.0037913221329786847,0.043170757139741056,0.043170757139741056,nan,0.01910980463633294,-0.0031142703631898325,0.01910980463633294,0.01910980463633294,nan,0.02332597151047988,0.17098162796160501,0.02332597151047988,0.02332597151047988,nan,0.0017714243960291753,0.11461107659158887,0.0017714243960291753,0.0017714243960291753,nan
3.03,4.809487025000635,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0021693874150514603,-0.0012842788128182292,0.02502385713160038,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.025148785848951253,0.025148785848951253,0.974979402231846,0.025148785848951253,0.013204403221607208,-0.0051178159192204475,0.09752663224935532,0.09854944090213201,-0.019283204942151064,0.025306539223504666,-0.04263669172551873,-0.0021331121679395437,0.0064147282391786575,0.001697088358923792,-0.04263669172551873,0.0,0.0,6.18249771057978,False,False,0.10799999999999965,0.44815963200016995,2,-0.10790494104662862,-0.045364371965598255,-0.10790494104662862,-0.10790494104662862,nan,0.017544543447994165,-0.006918670430312268,0.017544543447994165,0.017544543447994165,nan,0.043170757139741056,0.0037913221329786847,0.043170757139741056,0.043170757139741056,nan,0.01910980463633294,-0.0031142703631898325,0.01910980463633294,0.01910980463633294,nan,0.02332597151047988,0.17098162796160501,0.02332597151047988,0.02332597151047988,nan,0.0017714243960291753,0.11461107659158887,0.0017714243960291753,0.0017714243960291753,nan
3.062,4.890489094001168,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.0023926349822431803,-0.0013504374073818326,0.026217876002192497,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.02635967377071658,0.02635967377071658,0.9737859997971992,0.02635967377071658,0.01373510342091322,-0.005606421269476414,0.1005857065320015,0.10167383824748599,-0.01930134859244411,0.025408190577550196,-0.04259408250499203,0.0006097393925301731,0.004674783442169428,-0.0004146019637119031,-0.04259408250499203,0.0,0.0,6.2409319190339065,False,False,0.13999999999999968,0.5261910770004761,2,-0.10892481037994983,-0.05416143021586166,-0.10892481037994983,-0.10892481037994983,nan,0.01748859915412382,-0.006810214553550411,0.01748859915412382,0.01748859915412382,nan,0.0433109696884717,0.003377591055273469,0.0433109696884717,0.0433109696884717,nan,0.01910610780155597,-0.003256335402415475,0.01910610780155597,0.01910610780155597,nan,0.023218460449555778,0.11797441019693598,0.023218460449555778,0.023218460449555778,nan,0.0017290334051507372,0.1118478573381063,0.0017290334051507372,0.0017290334051507372,nan
