t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale
5.9960,-0.293347,0.134760,-0.229160,-0.270039,-0.061109,-0.229889,0.197252,13.570625,0.178527,-0.293347,0.230760,-0.094160,-0.040607,0.212430,0.000000,-0.021503,0.075539,0.000000,0.000000,0.000000,0.000000,1.765489,0.143155
6.0440,-0.293507,0.135322,-0.229160,-0.270013,-0.061879,-0.229843,0.198597,13.710619,0.179728,-0.293507,0.231322,-0.094160,-0.040855,0.212967,0.000000,-0.021591,0.075514,0.000000,0.000000,0.000000,0.000000,1.772933,0.135146
6.0940,-0.293647,0.135812,-0.229160,-0.269951,-0.063053,-0.229853,0.200273,13.910364,0.181244,-0.293647,0.231812,-0.094160,-0.041073,0.213434,0.000000,-0.021668,0.075492,0.000000,0.000000,0.000000,0.000000,1.779420,0.125042
6.1440,-0.293783,0.136284,-0.229160,-0.269906,-0.063774,-0.229850,0.201479,14.035158,0.182319,-0.293783,0.232284,-0.094160,-0.041283,0.213885,0.000000,-0.021742,0.075470,0.000000,0.000000,0.000000,0.000000,1.785672,0.117874
6.1940,-0.293912,0.136728,-0.229160,-0.269846,-0.064899,-0.229817,0.203060,14.234438,0.183745,-0.293912,0.232728,-0.094160,-0.041481,0.214310,0.000000,-0.021812,0.075450,0.000000,0.000000,0.000000,0.000000,1.791566,0.108365
6.2440,-0.294030,0.137137,-0.229160,-0.269793,-0.065705,-0.229869,0.204286,14.367743,0.184848,-0.294030,0.233137,-0.094160,-0.041663,0.214700,0.000000,-0.021876,0.075432,0.000000,0.000000,0.000000,0.000000,1.796984,0.101011
6.2940,-0.294141,0.137518,-0.229160,-0.269713,-0.066818,-0.229872,0.205793,14.563200,0.186206,-0.294141,0.233518,-0.094160,-0.041834,0.215063,0.000000,-0.021936,0.075414,0.000000,0.000000,0.000000,0.000000,1.802035,0.091959
6.3620,-0.294242,0.137865,-0.229160,-0.269642,-0.067993,-0.229857,0.207323,14.773690,0.187594,-0.294242,0.233865,-0.094160,-0.041989,0.215394,0.000000,-0.021990,0.075398,0.000000,0.000000,0.000000,0.000000,1.806633,0.082707
6.3980,-0.294365,0.138289,-0.229160,-0.269577,-0.068716,-0.229882,0.208484,14.900919,0.188625,-0.294365,0.234289,-0.094160,-0.042180,0.215799,0.000000,-0.022057,0.075379,0.000000,0.000000,0.000000,0.000000,1.812257,0.075835
6.4440,-0.294426,0.138495,-0.229160,-0.269522,-0.069492,-0.229870,0.209473,15.040065,0.189519,-0.294426,0.234495,-0.094160,-0.042272,0.215995,0.000000,-0.022089,0.075369,0.000000,0.000000,0.000000,0.000000,1.814987,0.069873
6.4940,-0.294497,0.138737,-0.229160,-0.269415,-0.070599,-0.229899,0.210835,15.238352,0.190746,-0.294497,0.234737,-0.094160,-0.042381,0.216226,0.000000,-0.022127,0.075358,0.000000,0.000000,0.000000,0.000000,1.818201,0.061693
6.5440,-0.294565,0.138969,-0.229160,-0.269360,-0.071342,-0.229869,0.211817,15.375510,0.191629,-0.294565,0.234969,-0.094160,-0.042486,0.216448,0.000000,-0.022164,0.075348,0.000000,0.000000,0.000000,0.000000,1.821286,0.055804
6.5940,-0.294627,0.139179,-0.229160,-0.269263,-0.072458,-0.229891,0.213153,15.573419,0.192839,-0.294627,0.235179,-0.094160,-0.042581,0.216648,0.000000,-0.022197,0.075338,0.000000,0.000000,0.000000,0.000000,1.824076,0.047740
6.6460,-0.294680,0.139359,-0.229160,-0.269194,-0.073225,-0.229886,0.214108,15.714966,0.193699,-0.294680,0.235359,-0.094160,-0.042662,0.216820,0.000000,-0.022225,0.075330,0.000000,0.000000,0.000000,0.000000,1.826463,0.042006
6.6940,-0.294728,0.139524,-0.229160,-0.269077,-0.074301,-0.229886,0.215359,15.913494,0.194823,-0.294728,0.235524,-0.094160,-0.042737,0.216977,0.000000,-0.022251,0.075322,0.000000,0.000000,0.000000,0.000000,1.828647,0.034512
6.7440,-0.294765,0.139649,-0.229160,-0.269002,-0.075068,-0.229910,0.216258,16.050688,0.195636,-0.294765,0.235649,-0.094160,-0.042793,0.217096,0.000000,-0.022271,0.075316,0.000000,0.000000,0.000000,0.000000,1.830304,0.029091
6.7940,-0.294798,0.139758,-0.229160,-0.268896,-0.076166,-0.229909,0.217473,16.250550,0.196739,-0.294798,0.235758,-0.094160,-0.042843,0.217200,0.000000,-0.022288,0.075311,0.000000,0.000000,0.000000,0.000000,1.831758,0.021743
6.8440,-0.294822,0.139840,-0.229160,-0.268814,-0.076875,-0.229926,0.218271,16.378815,0.197457,-0.294822,0.235840,-0.094160,-0.042880,0.217278,0.000000,-0.022301,0.075307,0.000000,0.000000,0.000000,0.000000,1.832845,0.016956
6.9020,-0.294841,0.139904,-0.229160,-0.268706,-0.077938,-0.229850,0.219405,16.583761,0.198479,-0.294841,0.235904,-0.094160,-0.042909,0.217339,0.000000,-0.022311,0.075304,0.000000,0.000000,0.000000,0.000000,1.833693,0.010139
6.9460,-0.294854,0.139948,-0.229160,-0.268615,-0.078647,-0.229870,0.220165,16.714056,0.199162,-0.294854,0.235948,-0.094160,-0.042929,0.217381,0.000000,-0.022318,0.075302,0.000000,0.000000,0.000000,0.000000,1.834281,0.005587
7.0020,-0.294860,0.139967,-0.229160,-0.268475,-0.079683,-0.229897,0.221229,16.904725,0.200119,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.0500,-0.294860,0.139967,-0.229160,-0.268376,-0.080335,-0.229863,0.221889,17.039586,0.200704,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.0940,-0.294860,0.139967,-0.229160,-0.268229,-0.081422,-0.229897,0.222986,17.240279,0.201692,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.1440,-0.294860,0.139967,-0.229160,-0.268143,-0.082095,-0.229886,0.223664,17.364835,0.202302,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.1940,-0.294860,0.139967,-0.229160,-0.267989,-0.083084,-0.229866,0.224665,17.557762,0.203191,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.2440,-0.294860,0.139967,-0.229160,-0.267878,-0.083768,-0.229866,0.225356,17.690550,0.203804,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.2940,-0.294860,0.139967,-0.229160,-0.267736,-0.084775,-0.229817,0.226373,17.886635,0.204711,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.3440,-0.294860,0.139967,-0.229160,-0.267620,-0.085385,-0.229849,0.226993,17.999762,0.205257,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.3940,-0.294860,0.139967,-0.229160,-0.267450,-0.086366,-0.229869,0.227987,18.186983,0.206135,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.4440,-0.294860,0.139967,-0.229160,-0.267334,-0.087053,-0.229888,0.228683,18.319886,0.206753,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.4940,-0.294860,0.139967,-0.229160,-0.267167,-0.088006,-0.229853,0.229649,18.506986,0.207601,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.5460,-0.294860,0.139967,-0.229160,-0.267045,-0.088663,-0.229849,0.230316,18.636974,0.208186,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.5940,-0.294860,0.139967,-0.229160,-0.266874,-0.089599,-0.229831,0.231266,18.819308,0.209020,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.6440,-0.294860,0.139967,-0.229160,-0.266742,-0.090192,-0.229857,0.231871,18.934509,0.209543,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.6940,-0.294860,0.139967,-0.229160,-0.266564,-0.091170,-0.229803,0.232863,19.131991,0.210410,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.7460,-0.294860,0.139967,-0.229160,-0.266376,-0.092085,-0.229822,0.233794,19.308666,0.211221,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.8000,-0.294860,0.139967,-0.229160,-0.266241,-0.092669,-0.229813,0.234390,19.428059,0.211732,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.8440,-0.294860,0.139967,-0.229160,-0.266118,-0.093305,-0.229814,0.235037,19.551366,0.212298,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.8940,-0.294860,0.139967,-0.229160,-0.265918,-0.094197,-0.229826,0.235946,19.725363,0.213083,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
7.9440,-0.294860,0.139967,-0.229160,-0.265786,-0.094825,-0.229791,0.236586,19.855682,0.213635,-0.294860,0.235967,-0.094160,-0.042937,0.217399,0.000000,-0.022321,0.075301,0.000000,0.000000,0.000000,0.000000,1.834527,0.000000
