t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z
5.6190,0.057839,0.407007,-0.226830,-0.262607,-0.027037,-0.227309,0.539518,11.854245,0.527384,0.057839,0.503007,-0.091830,-0.146075,0.262034,0.000000,-0.060665,0.049882,0.000000,0.000000,0.000000,0.000000
5.6690,0.054796,0.409489,-0.226830,-0.262371,-0.026834,-0.227479,0.539420,11.776320,0.528107,0.054796,0.505489,-0.091830,-0.147128,0.261445,0.000000,-0.061055,0.049404,0.000000,0.000000,0.000000,0.000000
5.7190,0.051734,0.411947,-0.226830,-0.262074,-0.026622,-0.227471,0.539276,11.732724,0.528771,0.051734,0.507947,-0.091830,-0.148179,0.260851,0.000000,-0.061441,0.048923,0.000000,0.000000,0.000000,0.000000
5.7690,0.048652,0.414381,-0.226830,-0.261766,-0.026420,-0.227631,0.539135,11.663144,0.529408,0.048652,0.510381,-0.091830,-0.149226,0.260253,0.000000,-0.061823,0.048439,0.000000,0.000000,0.000000,0.000000
5.8190,0.045551,0.416791,-0.226830,-0.261481,-0.026155,-0.228152,0.538954,11.509740,0.529961,0.045551,0.512791,-0.091830,-0.150271,0.259651,0.000000,-0.062202,0.047952,0.000000,0.000000,0.000000,0.000000
5.8690,0.042432,0.419177,-0.226830,-0.261226,-0.025865,-0.226874,0.538767,11.669129,0.530502,0.042432,0.515177,-0.091830,-0.151313,0.259045,0.000000,-0.062577,0.047462,0.000000,0.000000,0.000000,0.000000
5.9190,0.039294,0.421537,-0.226830,-0.260990,-0.025737,-0.227259,0.538725,11.572490,0.531143,0.039294,0.517537,-0.091830,-0.152353,0.258435,0.000000,-0.062948,0.046969,0.000000,0.000000,0.000000,0.000000
5.9690,0.036137,0.423873,-0.226830,-0.260653,-0.025422,-0.227363,0.538471,11.486110,0.531546,0.036137,0.519873,-0.091830,-0.153390,0.257821,0.000000,-0.063314,0.046473,0.000000,0.000000,0.000000,0.000000
6.0190,0.032962,0.426185,-0.226830,-0.260454,-0.025286,-0.227241,0.538441,11.483911,0.532143,0.032962,0.522185,-0.091830,-0.154423,0.257203,0.000000,-0.063678,0.045975,0.000000,0.000000,0.000000,0.000000
6.0690,0.029770,0.428471,-0.226830,-0.260234,-0.025010,-0.227114,0.538281,11.450060,0.532573,0.029770,0.524471,-0.091830,-0.155455,0.256581,0.000000,-0.064037,0.045473,0.000000,0.000000,0.000000,0.000000
6.1190,0.026559,0.430732,-0.226830,-0.259907,-0.024697,-0.226998,0.538032,11.410064,0.532896,0.026559,0.526732,-0.091830,-0.156483,0.255955,0.000000,-0.064392,0.044969,0.000000,0.000000,0.000000,0.000000
6.1690,0.023330,0.432968,-0.226830,-0.259567,-0.024401,-0.226973,0.537789,11.355556,0.533197,0.023330,0.528968,-0.091830,-0.157508,0.255325,0.000000,-0.064743,0.044462,0.000000,0.000000,0.000000,0.000000
