t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale
4.6020,-0.278949,0.004113,-0.234532,-0.263621,-0.017410,-0.299349,0.069996,15.621336,0.069982,-0.301341,0.055512,-0.028431,0.008269,-0.021430,0.004754,-0.000222,0.005024,0.000000,0.021886,0.046635,-0.071510,0.702909,0.312762
4.6520,-0.278966,0.004506,-0.234532,-0.266225,-0.003241,-0.300708,0.067836,13.192630,0.067612,-0.299818,0.050181,-0.027112,0.008803,-0.023411,0.004916,-0.000221,0.004908,0.000000,0.019645,0.053172,-0.073266,0.715419,0.486241
4.7020,-0.279001,0.005269,-0.234532,-0.267728,0.005277,-0.302166,0.068567,11.449584,0.067890,-0.298646,0.048097,-0.026266,0.009079,-0.021419,0.005019,-0.000355,0.007630,0.000000,0.018550,0.056296,-0.074103,0.739731,0.610744
4.7530,-0.279047,0.006227,-0.234532,-0.269111,0.020719,-0.303147,0.070829,8.793231,0.069112,-0.296993,0.043973,-0.024861,0.009549,-0.020910,0.005191,-0.000464,0.009582,0.000000,0.017021,0.061542,-0.075547,0.770268,0.708880
4.8030,-0.279103,0.007361,-0.234532,-0.269605,0.031733,-0.301872,0.072242,7.253587,0.069829,-0.296124,0.041819,-0.023985,0.009753,-0.020125,0.005299,-0.000564,0.011121,0.000000,0.016153,0.064278,-0.076411,0.806421,0.701706
4.8520,-0.279160,0.008462,-0.234532,-0.270738,0.044657,-0.297067,0.072744,5.910481,0.069444,-0.294808,0.039902,-0.022484,0.010195,-0.020910,0.005482,-0.000583,0.011007,0.000000,0.015067,0.065162,-0.077819,0.841507,0.705556
4.9020,-0.279219,0.009547,-0.234532,-0.272798,0.048337,-0.289202,0.067341,6.025770,0.063662,-0.294286,0.040385,-0.021713,0.010350,-0.020682,0.005577,-0.000610,0.011066,0.000000,0.014432,0.066212,-0.079079,0.876079,0.763385
4.9520,-0.279286,0.010744,-0.234532,-0.275861,0.046844,-0.286861,0.063666,6.311633,0.059300,-0.293370,0.039724,-0.019723,0.010592,-0.020008,0.005821,-0.000688,0.011971,0.000000,0.014084,0.067020,-0.079809,0.914248,0.806999
5.0020,-0.279360,0.012009,-0.234532,-0.278477,0.043423,-0.285208,0.059629,6.488732,0.054772,-0.292897,0.039466,-0.018796,0.010686,-0.019416,0.005934,-0.000760,0.012654,0.000000,0.013075,0.070267,-0.081639,0.954598,0.831283
5.0520,-0.279440,0.013313,-0.234532,-0.281328,0.039770,-0.282637,0.054933,6.656100,0.049496,-0.292308,0.039449,-0.017635,0.010836,-0.019043,0.006076,-0.000817,0.013032,0.000000,0.012552,0.069374,-0.082335,0.996162,0.827077
5.1020,-0.279523,0.014609,-0.234532,-0.282627,0.038312,-0.280090,0.051449,6.550075,0.045844,-0.291880,0.041475,-0.017074,0.010956,-0.018402,0.006145,-0.000846,0.012964,0.000000,0.011923,0.068776,-0.082959,1.037516,0.834720
5.1530,-0.279611,0.015917,-0.234532,-0.283358,0.041090,-0.274773,0.047613,5.898876,0.041788,-0.291428,0.043114,-0.016389,0.011072,-0.017711,0.006229,-0.000888,0.013082,0.000000,0.011711,0.068892,-0.083269,1.079252,0.839946
5.2030,-0.279704,0.017260,-0.234532,-0.283349,0.044460,-0.270861,0.045529,5.328025,0.039753,-0.291282,0.044167,-0.016040,0.011082,-0.017263,0.006272,-0.000929,0.013161,0.000000,0.011406,0.069610,-0.083900,1.122089,0.843757
5.2570,-0.279799,0.018582,-0.234532,-0.283367,0.047197,-0.265708,0.042467,4.642363,0.036888,-0.291047,0.045914,-0.015230,0.011125,-0.016595,0.006371,-0.000969,0.013218,0.000000,0.011103,0.067749,-0.084686,1.164277,0.849325
5.3040,-0.279906,0.020019,-0.234532,-0.283378,0.047392,-0.260546,0.037922,4.183717,0.032781,-0.291009,0.048270,-0.014846,0.011094,-0.015686,0.006418,-0.001013,0.013303,0.000000,0.011007,0.066984,-0.085128,1.210141,0.859238
5.3520,-0.280004,0.021284,-0.234532,-0.283334,0.046163,-0.258243,0.034530,4.165409,0.029764,-0.291000,0.050621,-0.014079,0.011051,-0.014710,0.006512,-0.001059,0.013455,0.000000,0.011013,0.066464,-0.085754,1.250525,0.867857
5.4030,-0.280108,0.022588,-0.234532,-0.282873,0.044264,-0.256106,0.030707,4.291570,0.026568,-0.291121,0.052125,-0.013778,0.010962,-0.014052,0.006549,-0.001106,0.013587,0.000000,0.011053,0.066664,-0.086034,1.292182,0.874087
5.4520,-0.280224,0.023984,-0.234532,-0.282242,0.043319,-0.254573,0.027920,4.303864,0.024406,-0.291315,0.053921,-0.013508,0.010848,-0.013329,0.006582,-0.001152,0.013682,0.000000,0.011174,0.065312,-0.086126,1.336760,0.881822
5.5040,-0.280340,0.025336,-0.234532,-0.281206,0.042797,-0.252826,0.025304,4.117544,0.022572,-0.291576,0.056463,-0.013313,0.010709,-0.012321,0.006606,-0.001200,0.013800,0.000000,0.011461,0.063907,-0.086235,1.379970,0.893180
5.5550,-0.280468,0.026790,-0.234532,-0.279162,0.043384,-0.249918,0.022667,3.658686,0.021073,-0.292056,0.059364,-0.013129,0.010485,-0.011132,0.006628,-0.001256,0.013974,0.000000,0.011859,0.062768,-0.086602,1.426415,0.906427
5.6020,-0.280600,0.028236,-0.234532,-0.276892,0.044769,-0.247282,0.021205,3.163314,0.020510,-0.292459,0.061468,-0.012930,0.010284,-0.010192,0.006653,-0.001316,0.014177,0.000000,0.012327,0.060804,-0.086680,1.472643,0.915789
5.6570,-0.280727,0.029582,-0.234532,-0.275484,0.044065,-0.245738,0.019048,2.930013,0.018823,-0.293054,0.064778,-0.012852,0.010023,-0.008890,0.006662,-0.001368,0.014320,0.000000,0.012493,0.059090,-0.086354,1.515685,0.930986
5.7070,-0.280883,0.031183,-0.234532,-0.273865,0.041797,-0.243559,0.015601,2.765344,0.015593,-0.293526,0.069214,-0.013480,0.009789,-0.007105,0.006585,-0.001437,0.014553,0.000000,0.012950,0.056416,-0.085718,1.566889,0.952816
5.7640,-0.281032,0.032673,-0.234532,-0.272208,0.039891,-0.242239,0.013761,2.679451,0.013293,-0.294130,0.072758,-0.013949,0.009499,-0.005527,0.006528,-0.001516,0.014890,0.000000,0.013594,0.054942,-0.085294,1.614530,0.970306
5.8220,-0.281211,0.034401,-0.234532,-0.270801,0.039294,-0.241668,0.013536,2.566892,0.012199,-0.294805,0.075459,-0.014238,0.009182,-0.004314,0.006493,-0.001596,0.015158,0.000000,0.013930,0.054499,-0.085081,1.669837,0.983642
5.8520,-0.281402,0.036183,-0.234532,-0.269282,0.039046,-0.241331,0.014188,2.332116,0.011628,-0.295387,0.078484,-0.014675,0.008901,-0.003053,0.006439,-0.001673,0.015360,0.000000,0.014056,0.052614,-0.084485,1.726889,0.998403
5.9020,-0.281505,0.037118,-0.234532,-0.267878,0.038833,-0.240878,0.015129,1.996746,0.011373,-0.295611,0.081151,-0.015296,0.008769,-0.001893,0.006363,-0.001728,0.015587,0.000000,0.014219,0.051125,-0.083880,1.756841,1.000000
5.9520,-0.281680,0.038679,-0.234532,-0.265795,0.039052,-0.239712,0.016713,1.520670,0.010778,-0.296167,0.084658,-0.016510,0.008522,-0.000646,0.006214,-0.001779,0.015607,0.000000,0.014487,0.050022,-0.083022,1.806841,1.000000
6.0020,-0.281860,0.040240,-0.234532,-0.264055,0.039629,-0.238536,0.018260,1.143711,0.010183,-0.296547,0.087041,-0.017358,0.008340,0.000183,0.006110,-0.001828,0.015601,0.000000,0.014977,0.048600,-0.081199,1.856841,1.000000
6.0520,-0.282046,0.041800,-0.234532,-0.263172,0.039352,-0.237812,0.019313,0.978874,0.009357,-0.296993,0.089830,-0.018709,0.008135,0.001153,0.005945,-0.001877,0.015595,0.000000,0.014941,0.046664,-0.079930,1.906841,1.000000
6.1030,-0.282236,0.043359,-0.234532,-0.262661,0.038387,-0.237374,0.020395,0.891325,0.008751,-0.297177,0.092695,-0.019602,0.008022,0.002150,0.005835,-0.001926,0.015589,0.000000,0.014999,0.045670,-0.079523,1.956841,1.000000
6.1520,-0.282435,0.044949,-0.234532,-0.261822,0.037551,-0.237807,0.022144,0.751607,0.009564,-0.297500,0.095731,-0.020026,0.007859,0.003206,0.005783,-0.001976,0.015583,0.000000,0.015065,0.045218,-0.079506,2.007841,1.000000
