stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
1.966667,bulb,0.000154346,0.037686,0.030762,0.046951,4,16,1,0,0
2.000000,socket,nan,nan,nan,inf,0,0,0,0,0
2.000000,bulb,0.000135537,0.024934,0.024558,0.069059,4,16,1,0,0
2.033333,socket,nan,nan,nan,inf,0,0,0,0,0
2.033333,bulb,0.000023813,0.023943,0.023249,0.065598,4,16,1,0,0
2.066667,socket,nan,nan,nan,inf,0,0,0,0,0
2.066667,bulb,0.000139099,0.017790,0.011273,0.066270,4,16,1,0,0
2.100000,socket,nan,nan,nan,inf,0,0,0,0,0
2.100000,bulb,0.000107379,0.021867,0.018573,0.066843,4,16,1,0,0
2.133333,socket,nan,nan,nan,inf,0,0,0,0,0
2.133333,bulb,0.000292532,0.036604,0.036200,0.065113,4,16,1,0,0
2.166667,socket,nan,nan,nan,inf,0,0,0,0,0
2.166667,bulb,0.000203484,0.021669,0.021272,0.068752,4,16,1,0,0
2.200000,socket,nan,nan,nan,inf,0,0,0,0,0
2.200000,bulb,0.000028183,0.019293,0.018591,0.064558,4,16,1,0,0
2.233333,socket,nan,nan,nan,inf,0,0,0,0,0
2.233333,bulb,0.000234576,0.044216,0.044114,0.070303,4,16,1,0,0
2.266667,socket,nan,nan,nan,inf,0,0,0,0,0
2.266667,bulb,0.000054139,0.043513,0.043063,0.065935,4,16,1,0,0
2.300000,socket,nan,nan,nan,inf,0,0,0,0,0
2.300000,bulb,0.000055876,0.028514,0.019995,0.064600,4,16,1,0,0
2.333333,socket,nan,nan,nan,inf,0,0,0,0,0
2.333333,bulb,0.000044642,0.033192,0.033101,0.068536,4,16,1,0,0
2.366667,socket,nan,nan,nan,inf,0,0,0,0,0
2.366667,bulb,0.000078051,0.069791,0.069341,0.066591,4,16,1,0,0
2.400000,socket,nan,nan,nan,inf,0,0,0,0,0
2.400000,bulb,0.000028748,0.026019,0.024184,0.064407,4,16,1,0,0
2.433333,socket,nan,nan,nan,inf,0,0,0,0,0
2.433333,bulb,0.000146552,0.048929,0.048805,0.060752,4,16,1,0,0
2.466667,socket,nan,nan,nan,inf,0,0,0,0,0
2.466667,bulb,0.000059039,0.022004,0.021988,0.056656,4,16,1,0,0
2.500000,socket,nan,nan,nan,inf,0,0,0,0,0
2.500000,bulb,0.000112893,0.043352,0.043289,0.069669,4,16,1,0,0
2.533333,socket,nan,nan,nan,inf,0,0,0,0,0
2.533333,bulb,0.000082513,0.049922,0.046528,0.060013,4,16,1,0,0
2.566667,socket,nan,nan,nan,inf,0,0,0,0,0
2.566667,bulb,0.000100576,0.017600,0.011186,0.065883,4,16,1,0,0
2.600000,socket,nan,nan,nan,inf,0,0,0,0,0
2.600000,bulb,0.000137480,0.026470,0.024450,0.055747,4,16,1,0,0
2.633333,socket,nan,nan,nan,inf,0,0,0,0,0
2.633333,bulb,0.000076144,0.047216,0.044972,0.055757,4,16,1,0,0
2.666667,socket,nan,nan,nan,inf,0,0,0,0,0
2.666667,bulb,0.000150597,0.022773,0.022628,0.066663,4,16,1,0,0
2.700000,socket,nan,nan,nan,inf,0,0,0,0,0
2.700000,bulb,0.000044936,0.036345,0.035768,0.057811,4,16,1,0,0
2.733333,socket,nan,nan,nan,inf,0,0,0,0,0
2.733333,bulb,0.000258541,0.021762,0.019412,0.059175,4,16,1,0,0
2.766667,socket,nan,nan,nan,inf,0,0,0,0,0
2.766667,bulb,0.000065947,0.032858,0.026445,0.067429,4,16,1,0,0
2.800000,socket,nan,nan,nan,inf,0,0,0,0,0
2.800000,bulb,0.000067878,0.060364,0.058549,0.074604,4,16,1,0,0
2.833333,socket,nan,nan,nan,inf,0,0,0,0,0
2.833333,bulb,0.000087231,0.040565,0.038694,0.064977,4,16,1,0,0
2.866667,socket,nan,nan,nan,inf,0,0,0,0,0
2.866667,bulb,0.000163741,0.033459,0.033432,0.058715,4,16,1,0,0
2.900000,socket,nan,nan,nan,inf,0,0,0,0,0
2.900000,bulb,0.000176030,0.037962,0.037799,0.056085,4,16,1,0,0
2.933333,socket,nan,nan,nan,inf,0,0,0,0,0
2.933333,bulb,0.000270114,0.025006,0.024989,0.058692,4,16,1,0,0
2.966667,socket,nan,nan,nan,inf,0,0,0,0,0
2.966667,bulb,0.000095563,0.031351,0.026439,0.052384,4,16,1,0,0
3.000000,socket,nan,nan,nan,inf,0,0,0,0,0
3.000000,bulb,0.000111580,0.036128,0.035848,0.068978,4,16,1,0,0
3.033333,socket,nan,nan,nan,inf,0,0,0,0,0
3.033333,bulb,0.000056871,0.027457,0.024801,0.074276,4,16,1,0,0
3.066667,socket,nan,nan,nan,inf,0,0,0,0,0
3.066667,bulb,0.000145493,0.048564,0.048525,0.066209,4,16,1,0,0
3.100000,socket,nan,nan,nan,inf,0,0,0,0,0
3.100000,bulb,0.000175913,0.022753,0.022640,0.056522,4,16,1,0,0
3.133333,socket,nan,nan,nan,inf,0,0,0,0,0
3.133333,bulb,0.000072941,0.066263,0.066114,0.046612,4,16,1,0,0
3.166667,socket,nan,nan,nan,inf,0,0,0,0,0
3.166667,bulb,0.000077401,0.024492,0.022818,0.061616,4,16,1,0,0
3.200000,socket,nan,nan,nan,inf,0,0,0,0,0
3.200000,bulb,0.000059967,0.042667,0.039944,0.049787,4,16,1,0,0
3.233333,socket,nan,nan,nan,inf,0,0,0,0,0
3.233333,bulb,0.000027968,0.007869,0.004634,0.071656,4,16,1,0,0
3.266667,socket,nan,nan,nan,inf,0,0,0,0,0
3.266667,bulb,0.000064008,0.043306,0.042916,0.062883,4,16,1,0,0
3.300000,socket,nan,nan,nan,inf,0,0,0,0,0
3.300000,bulb,0.000048068,0.057615,0.057531,0.045022,4,16,1,0,0
3.333333,socket,nan,nan,nan,inf,0,0,0,0,0
3.333333,bulb,0.000208380,0.014506,0.014169,0.066179,4,16,1,0,0
3.366667,socket,nan,nan,nan,inf,0,0,0,0,0
3.366667,bulb,0.000109186,0.066721,0.066447,0.058055,4,16,1,0,0
3.400000,socket,nan,nan,nan,inf,0,0,0,0,0
3.400000,bulb,0.000301975,0.016272,0.016254,0.059385,4,16,1,0,0
3.433333,socket,nan,nan,nan,inf,0,0,0,0,0
3.433333,bulb,0.000048770,0.028831,0.024920,0.071155,4,16,1,0,0
3.466667,socket,nan,nan,nan,inf,0,0,0,0,0
3.466667,bulb,0.000225156,0.020406,0.020374,0.071679,4,16,1,0,0
3.500000,socket,nan,nan,nan,inf,0,0,0,0,0
3.500000,bulb,0.000125649,0.058503,0.058230,0.077976,4,16,1,0,0
3.533333,socket,nan,nan,nan,inf,0,0,0,0,0
3.533333,bulb,0.000120937,0.024582,0.024565,0.062507,4,16,1,0,0
3.566667,socket,nan,nan,nan,inf,0,0,0,0,0
3.566667,bulb,0.000244678,0.065340,0.064812,0.067314,4,16,1,0,0
3.600000,socket,nan,nan,nan,inf,0,0,0,0,0
3.600000,bulb,0.000063137,0.016323,0.013650,0.051433,4,16,1,0,0
3.633333,socket,nan,nan,nan,inf,0,0,0,0,0
3.633333,bulb,0.000070094,0.054632,0.054516,0.067747,4,16,1,0,0
3.666667,socket,nan,nan,nan,inf,0,0,0,0,0
3.666667,bulb,0.000062315,0.030722,0.029236,0.059652,4,16,1,0,0
3.700000,socket,nan,nan,nan,inf,0,0,0,0,0
3.700000,bulb,0.000193098,0.021765,0.018716,0.065762,4,16,1,0,0
3.733333,socket,nan,nan,nan,inf,0,0,0,0,0
3.733333,bulb,0.000112963,0.016032,0.009527,0.056195,4,16,1,0,0
3.766667,socket,nan,nan,nan,inf,0,0,0,0,0
3.766667,bulb,0.000030533,0.028602,0.024144,0.062562,4,16,1,0,0
3.800000,socket,nan,nan,nan,inf,0,0,0,0,0
3.800000,bulb,0.000093100,0.072474,0.072386,0.073577,4,16,1,0,0
3.833333,socket,nan,nan,nan,inf,0,0,0,0,0
3.833333,bulb,0.000035461,0.022181,0.020168,0.054950,4,16,1,0,0
3.866667,socket,nan,nan,nan,inf,0,0,0,0,0
3.866667,bulb,0.000212514,0.034968,0.033756,0.063445,4,16,1,0,0
3.900000,socket,nan,nan,nan,inf,0,0,0,0,0
3.900000,bulb,0.000182394,0.026815,0.022008,0.057006,4,16,1,0,0
3.933333,socket,nan,nan,nan,inf,0,0,0,0,0
3.933333,bulb,0.000101945,0.025353,0.024327,0.052820,4,16,1,0,0
3.966667,socket,nan,nan,nan,inf,0,0,0,0,0
3.966667,bulb,0.000126980,0.031320,0.027579,0.059488,4,16,1,0,0
4.000000,socket,nan,nan,nan,inf,0,0,0,0,0
4.000000,bulb,0.000075040,0.040225,0.040176,0.065099,4,16,1,0,0
4.033333,socket,nan,nan,nan,inf,0,0,0,0,0
4.033333,bulb,0.000028131,0.019686,0.017460,0.060087,4,16,1,0,0
4.066667,socket,nan,nan,nan,inf,0,0,0,0,0
4.066667,bulb,0.000113104,0.038690,0.038627,0.051380,4,16,1,0,0
4.100000,socket,nan,nan,nan,inf,0,0,0,0,0
4.100000,bulb,0.000047343,0.037135,0.036866,0.080385,4,16,1,0,0
4.133333,socket,nan,nan,nan,inf,0,0,0,0,0
4.133333,bulb,0.000109735,0.031144,0.027720,0.057168,4,16,1,0,0
4.166667,socket,nan,nan,nan,inf,0,0,0,0,0
4.166667,bulb,0.000258428,0.047044,0.046946,0.060146,4,16,1,0,0
4.200000,socket,nan,nan,nan,inf,0,0,0,0,0
4.200000,bulb,0.000047320,0.019150,0.017436,0.060130,4,16,1,0,0
4.233333,socket,nan,nan,nan,inf,0,0,0,0,0
4.233333,bulb,0.000112368,0.040171,0.040068,0.059998,4,16,1,0,0
4.266667,socket,nan,nan,nan,inf,0,0,0,0,0
4.266667,bulb,0.000150694,0.058636,0.058632,0.072515,4,16,1,0,0
4.300000,socket,nan,nan,nan,inf,0,0,0,0,0
4.300000,bulb,0.000072641,0.023212,0.022733,0.068300,4,16,1,0,0
4.333333,socket,nan,nan,nan,inf,0,0,0,0,0
4.333333,bulb,0.000073439,0.040167,0.040122,0.064876,4,16,1,0,0
4.366667,socket,nan,nan,nan,inf,0,0,0,0,0
4.366667,bulb,0.000190808,0.050162,0.050158,0.063905,4,16,1,0,0
4.400000,socket,nan,nan,nan,inf,0,0,0,0,0
4.400000,bulb,0.000103997,0.035250,0.034978,0.053623,4,16,1,0,0
4.433333,socket,nan,nan,nan,inf,0,0,0,0,0
4.433333,bulb,0.000141042,0.084674,0.084650,0.060470,4,16,1,0,0
4.466667,socket,nan,nan,nan,inf,0,0,0,0,0
4.466667,bulb,0.000125627,0.026034,0.022977,0.057603,4,16,1,0,0
4.500000,socket,nan,nan,nan,inf,0,0,0,0,0
4.500000,bulb,0.000151968,0.003175,0.001920,0.068469,4,16,1,0,0
4.533333,socket,nan,nan,nan,inf,0,0,0,0,0
4.533333,bulb,0.000205230,0.073190,0.072563,0.050844,4,16,1,0,0
4.566667,socket,nan,nan,nan,inf,0,0,0,0,0
4.566667,bulb,0.000050158,0.023978,0.023728,0.070730,4,16,1,0,0
4.600000,socket,nan,nan,nan,inf,0,0,0,0,0
4.600000,bulb,0.000175609,0.018100,0.007696,0.080884,4,16,1,0,0
4.633333,socket,nan,nan,nan,inf,0,0,0,0,0
4.633333,bulb,0.000193033,0.037545,0.037508,0.060005,4,16,1,0,0
4.666667,socket,nan,nan,nan,inf,0,0,0,0,0
4.666667,bulb,0.000067784,0.071634,0.071566,0.061519,4,16,1,0,0
4.700000,socket,nan,nan,nan,inf,0,0,0,0,0
4.700000,bulb,0.000079902,0.043549,0.041462,0.068133,4,16,1,0,0
4.733333,socket,nan,nan,nan,inf,0,0,0,0,0
4.733333,bulb,0.000086795,0.018873,0.018357,0.052131,4,16,1,0,0
4.766667,socket,nan,nan,nan,inf,0,0,0,0,0
4.766667,bulb,0.000041060,0.030808,0.030753,0.066726,4,16,1,0,0
4.800000,socket,nan,nan,nan,inf,0,0,0,0,0
4.800000,bulb,0.000209723,0.016196,0.016176,0.047161,4,16,1,0,0
4.833333,socket,nan,nan,nan,inf,0,0,0,0,0
4.833333,bulb,0.000118421,0.027177,0.025072,0.072869,4,16,1,0,0
4.866667,socket,nan,nan,nan,inf,0,0,0,0,0
4.866667,bulb,0.000109642,0.051698,0.050482,0.061244,4,16,1,0,0
4.900000,socket,nan,nan,nan,inf,0,0,0,0,0
4.900000,bulb,0.000038954,0.045359,0.044729,0.061607,4,16,1,0,0
4.933333,socket,nan,nan,nan,inf,0,0,0,0,0
4.933333,bulb,0.000119830,0.036914,0.036835,0.070115,4,16,1,0,0
4.966667,socket,nan,nan,nan,inf,0,0,0,0,0
4.966667,bulb,0.000249626,0.046947,0.046864,0.081180,4,16,1,0,0
5.000000,socket,nan,nan,nan,inf,0,0,0,0,0
5.000000,bulb,0.000053267,0.045110,0.045095,0.069510,4,16,1,0,0
5.033333,socket,nan,nan,nan,inf,0,0,0,0,0
5.033333,bulb,0.000136336,0.026615,0.026436,0.057330,4,16,1,0,0
5.066667,socket,nan,nan,nan,inf,0,0,0,0,0
5.066667,bulb,0.000067810,0.016639,0.015880,0.070946,4,16,1,0,0
5.100000,socket,nan,nan,nan,inf,0,0,0,0,0
5.100000,bulb,0.000211844,0.028491,0.026367,0.068390,4,16,1,0,0
5.133333,socket,nan,nan,nan,inf,0,0,0,0,0
5.133333,bulb,0.000165077,0.051238,0.051055,0.069614,4,16,1,0,0
5.166667,socket,nan,nan,nan,inf,0,0,0,0,0
5.166667,bulb,0.000239482,0.028007,0.027686,0.049248,4,16,1,0,0
5.200000,socket,nan,nan,nan,inf,0,0,0,0,0
5.200000,bulb,0.000004808,0.022355,0.022350,0.060724,4,16,1,0,0
5.233333,socket,nan,nan,nan,inf,0,0,0,0,0
5.233333,bulb,0.000144138,0.051902,0.050402,0.061981,4,16,1,0,0
5.266667,socket,nan,nan,nan,inf,0,0,0,0,0
5.266667,bulb,0.000077237,0.026743,0.026657,0.060180,4,16,1,0,0
5.300000,socket,nan,nan,nan,inf,0,0,0,0,0
5.300000,bulb,0.000085655,0.050491,0.050491,0.076781,4,16,1,0,0
5.333333,socket,nan,nan,nan,inf,0,0,0,0,0
5.333333,bulb,0.000154044,0.013037,0.013037,0.060183,4,16,1,0,0
5.366667,socket,nan,nan,nan,inf,0,0,0,0,0
5.366667,bulb,0.000230002,0.043449,0.041924,0.053762,4,16,1,0,0
5.400000,socket,nan,nan,nan,inf,0,0,0,0,0
5.400000,bulb,0.000175554,0.037563,0.037083,0.054114,4,16,1,0,0
5.433333,socket,nan,nan,nan,inf,0,0,0,0,0
5.433333,bulb,0.000214371,0.012115,0.011472,0.057473,4,16,1,0,0
5.466667,socket,nan,nan,nan,inf,0,0,0,0,0
5.466667,bulb,0.000119322,0.033770,0.033083,0.057201,4,16,1,0,0
5.500000,socket,nan,nan,nan,inf,0,0,0,0,0
5.500000,bulb,0.000127654,0.044532,0.044483,0.047967,4,16,1,0,0
5.533333,socket,nan,nan,nan,inf,0,0,0,0,0
5.533333,bulb,0.000156388,0.050084,0.050051,0.059010,4,16,1,0,0
5.566667,socket,nan,nan,nan,inf,0,0,0,0,0
5.566667,bulb,0.000098235,0.035661,0.033073,0.060520,4,16,1,0,0
5.600000,socket,nan,nan,nan,inf,0,0,0,0,0
5.600000,bulb,0.000042188,0.007298,0.005596,0.062923,4,16,1,0,0
5.633333,socket,nan,nan,nan,inf,0,0,0,0,0
5.633333,bulb,0.000101318,0.037200,0.037199,0.064748,4,16,1,0,0
5.666667,socket,nan,nan,nan,inf,0,0,0,0,0
5.666667,bulb,0.000079314,0.044938,0.044119,0.054747,4,16,1,0,0
5.700000,socket,nan,nan,nan,inf,0,0,0,0,0
5.700000,bulb,0.000081774,0.026930,0.025113,0.057720,4,16,1,0,0
5.733333,socket,nan,nan,nan,inf,0,0,0,0,0
5.733333,bulb,0.000123404,0.028801,0.026117,0.045532,4,16,1,0,0
5.766667,socket,nan,nan,nan,inf,0,0,0,0,0
5.766667,bulb,0.000200516,0.012708,0.012396,0.064662,4,16,1,0,0
5.800000,socket,nan,nan,nan,inf,0,0,0,0,0
5.800000,bulb,0.000114365,0.038194,0.037771,0.059525,4,16,1,0,0
5.833333,socket,nan,nan,nan,inf,0,0,0,0,0
5.833333,bulb,0.000082128,0.036148,0.036148,0.072586,4,16,1,0,0
5.866667,socket,nan,nan,nan,inf,0,0,0,0,0
5.866667,bulb,0.000120343,0.024077,0.024064,0.061912,4,16,1,0,0
5.900000,socket,nan,nan,nan,inf,0,0,0,0,0
5.900000,bulb,0.000259935,0.021496,0.021487,0.059970,4,16,1,0,0
5.933333,socket,nan,nan,nan,inf,0,0,0,0,0
5.933333,bulb,0.000019871,0.013470,0.007161,0.067494,4,16,1,0,0
5.966667,socket,nan,nan,nan,inf,0,0,0,0,0
5.966667,bulb,0.000019777,0.029781,0.025866,0.071598,4,16,1,0,0
