stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,false_valid
276.655000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
276.854000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
276.854000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
277.054000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
277.054000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
277.287000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
277.287000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
277.487000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
277.487000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
277.687000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
277.687000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
277.887000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
277.887000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
278.089000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
278.089000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
278.287000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
278.287000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
278.455000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
278.455000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
278.655000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
278.655000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
278.821000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
278.821000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
279.021000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
279.021000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
279.254000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
279.254000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
279.487000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
279.487000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
279.687000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
279.687000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
279.887000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
279.887000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
280.089000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
280.089000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
280.287000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
280.287000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
280.487000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
280.487000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
280.654000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
280.654000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
280.855000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
280.855000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
281.087000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
281.087000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
281.287000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
281.287000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
281.487000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
281.487000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
281.687000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
281.687000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
281.888000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
281.888000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
282.122000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
282.122000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
282.322000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
282.322000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
282.521000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
282.521000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
282.687000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
282.687000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
