stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,false_valid
57.449000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.449000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.449000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.449000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.648000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.648000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
57.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
57.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.081000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.081000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.081000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.081000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.282000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.282000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.282000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.282000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.516000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.516000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.516000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.516000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.715000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.715000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.715000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.715000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
58.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
58.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.048000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.048000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.048000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.048000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.282000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.282000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.282000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.282000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.483000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.483000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.681000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.483000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.681000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.681000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
59.881000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
59.881000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.048000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.048000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.048000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.048000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.249000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.249000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.249000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.249000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.449000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.449000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.449000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.449000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.616000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.616000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.616000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.616000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.782000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.782000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.782000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.782000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
60.982000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
60.982000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
61.181000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
61.181000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
61.181000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
61.181000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
61.381000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
61.181000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
61.381000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
61.381000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
61.381000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
61.548000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
61.548000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
61.548000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
61.748000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
61.748000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
