stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,false_valid
112.415000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
112.415000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
112.415000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
112.415000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
112.615000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
112.615000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
112.615000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
112.615000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
112.816000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
112.816000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
112.816000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
112.816000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.015000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.015000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.015000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.015000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.215000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.215000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.215000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.215000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.448000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.448000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.448000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.448000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.615000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.615000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.615000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.615000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.815000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.815000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.815000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.815000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.981000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.981000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
113.981000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
113.981000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.215000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.215000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.215000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.215000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.381000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.381000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.381000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.381000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.616000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.616000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.616000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.616000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.816000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.816000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.816000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.816000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.981000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.981000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
114.981000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
114.981000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.215000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
115.215000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.215000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
115.215000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.415000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
115.415000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.581000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
115.581000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.581000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
115.581000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.781000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
115.781000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.781000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
115.781000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.982000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
115.982000000,bulb,0.029666400,0.858955,0.858954,0.120685,4,8,1,0
115.982000000,socket,0.049585031,0.151561,0.151559,0.317546,4,8,1,0
